n, F_n, time_elapsed
0, 0, 0.000003
1, 1, 0.000004
2, 1, 0.000005
3, 2, 0.000006
4, 3, 0.000007
5, 5, 0.000008
6, 8, 0.000010
7, 13, 0.000012
8, 21, 0.000013
9, 34, 0.000016
10, 55, 0.000020
11, 89, 0.000025
12, 144, 0.000032
13, 233, 0.000043
14, 377, 0.000058
15, 610, 0.000082
16, 987, 0.000119
17, 1597, 0.000179
18, 2584, 0.000247
19, 4181, 0.000381
20, 6765, 0.000630
21, 10946, 0.001005
22, 17711, 0.001502
23, 28657, 0.002248
24, 46368, 0.003448
25, 9489, 0.005354
26, 55857, 0.007730
27, 65346, 0.011598
28, 55667, 0.017030
29, 55477, 0.023879
30, 45608, 0.035206
31, 35549, 0.052662
32, 15621, 0.082336
33, 51170, 0.137663
34, 1255, 0.219239
35, 52425, 0.358952
36, 53680, 0.602448
37, 40569, 0.970102
38, 28713, 1.568156
39, 3746, 2.576796
40, 32459, 4.214823
41, 36205, 6.804564
42, 3128, 11.098458
43, 39333, 17.885848
44, 42461, 28.840445
45, 16258, 46.594869
46, 58719, 75.402126
46, 58719, 75.402126
################################################################################
10000, 6619, 0.662057
20000, 59653, 2.706974
30000, 1600, 6.168335
40000, 30907, 10.929391
50000, 4069, 17.065577
60000, 3200, 24.667226
70000, 45979, 33.368794
80000, 56005, 43.506679
90000, 4800, 54.326524
94727, 19537, 60.000185
################################################################################
1000000, 5307, 4.662346
2000000, 4805, 9.572627
3000000, 28928, 14.742327
4000000, 64571, 20.129677
5000000, 31301, 25.489734
6000000, 57856, 30.999198
7000000, 41915, 36.519806
8000000, 8645, 42.214748
9000000, 21248, 47.658742
10000000, 2875, 53.233035
11000000, 2373, 58.826835
11210732, 56157, 60.000001
