Crossover = 1
Size	Traditional
10	0.000007
20	0.000036
30	0.000133
40	0.000316
50	0.000676
60	0.000905
70	0.001463
80	0.002294
90	0.003620
100	0.004736
110	0.006220
120	0.007850
130	0.010644
140	0.013405
150	0.016290
160	0.020063
170	0.022459
180	0.025768
190	0.031439
200	0.042004
210	0.049033
220	0.052823
230	0.056249
240	0.068552
250	0.080202
260	0.085194
270	0.097759
280	0.109659
290	0.120736
300	0.144857
310	0.157680
320	0.180701
330	0.182266
340	0.200981
350	0.230095
360	0.244544
370	0.265921
380	0.304825
390	0.328782
400	0.336902
410	0.405732
420	0.410153
430	0.453858
440	0.460042
450	0.528101
460	0.545753
470	0.629473
480	0.648624
490	0.728484
500	0.803221
510	0.771413
520	0.794188
530	0.884396
540	0.948580
550	0.965298
560	1.052762
570	1.133970
580	1.193105
590	1.261566
600	1.297280
610	1.372880
620	1.417566
630	1.475120
640	1.852783
650	1.687195
660	1.969686
670	2.064514
680	2.046424
690	2.160451
700	2.301503
710	3.266576
720	3.051471
730	3.597902
740	4.227530
750	4.403891
760	4.160865
770	4.926445
780	5.227995
790	5.515181
800	5.076367
810	6.254883
