Crossover = 83
Trials = 10
Size	Traditional	Strassen
83	0.002036	0.002186	0
84	0.002814	0.002299	1
85	0.002355	0.002371	0
86	0.002319	0.002315	1
87	0.002292	0.002881	0
88	0.002568	0.002381	1
89	0.002782	0.002633	1
90	0.003391	0.002703	1
91	0.003126	0.002667	1
92	0.003347	0.003182	1
93	0.003666	0.003307	1
94	0.003458	0.003325	1
95	0.003218	0.003855	0
96	0.003247	0.003015	1
97	0.003919	0.003670	1
98	0.003208	0.003652	0
99	0.004072	0.003749	1
100	0.004173	0.003297	1
101	0.004317	0.003869	1
102	0.004062	0.003586	1
103	0.003914	0.004093	0
104	0.004260	0.004300	0
105	0.004557	0.004884	0
106	0.005141	0.005187	0
107	0.004990	0.005088	0
108	0.005042	0.005411	0
109	0.005462	0.005029	1
110	0.004756	0.004902	0
111	0.004803	0.004766	1
112	0.005142	0.005897	0
113	0.005672	0.005205	1
114	0.005868	0.005983	0
115	0.006257	0.005336	1
116	0.005967	0.005058	1
117	0.005608	0.005939	0
118	0.005987	0.005782	1
119	0.006198	0.006022	1
120	0.006056	0.005747	1
121	0.006953	0.006558	1
122	0.006768	0.006428	1
123	0.007036	0.007131	0
124	0.007408	0.007611	0
125	0.007128	0.007189	0
126	0.007540	0.006815	1
127	0.008095	0.008087	1
128	0.009762	0.008132	1
129	0.008600	0.008818	0
130	0.008761	0.008480	1
131	0.008778	0.008635	1
132	0.009584	0.008700	1
133	0.009517	0.009119	1
134	0.010489	0.008242	1
135	0.008656	0.009077	0
136	0.009672	0.009705	0
137	0.009202	0.008999	1
138	0.011046	0.009032	1
139	0.011039	0.009420	1
140	0.010736	0.009309	1
141	0.010671	0.010315	1
142	0.010564	0.010676	0
143	0.011808	0.010766	1
144	0.010629	0.011354	0
145	0.011236	0.011788	0
146	0.011725	0.010875	1
147	0.011229	0.010907	1
148	0.011593	0.012006	0
149	0.012229	0.012717	0
150	0.012390	0.011603	1
151	0.012529	0.011924	1
152	0.013612	0.011711	1
153	0.013381	0.012954	1
154	0.014358	0.012010	1
155	0.014103	0.013979	1
156	0.014858	0.013372	1
157	0.015496	0.014339	1
158	0.014616	0.014478	1
159	0.015742	0.015068	1
160	0.016288	0.014730	1
161	0.016001	0.014888	1
162	0.015688	0.016105	0
163	0.016174	0.017120	0
164	0.016564	0.017101	0
165	0.017879	0.016616	1
166	0.018352	0.015541	1
167	0.016611	0.016014	1
168	0.016938	0.016147	1
169	0.018258	0.019371	0
170	0.019544	0.018028	1
171	0.018281	0.019271	0
172	0.019915	0.017937	1
173	0.018748	0.018883	0
174	0.020198	0.019237	1
175	0.020571	0.018390	1
176	0.019923	0.018319	1
177	0.022237	0.020496	1
178	0.020991	0.019746	1
179	0.022571	0.020971	1
180	0.021764	0.021319	1
181	0.022713	0.022325	1
182	0.022781	0.020531	1
183	0.022964	0.020554	1
184	0.022852	0.021787	1
185	0.023704	0.021812	1
186	0.022857	0.022994	0
187	0.024495	0.022838	1
188	0.024973	0.023617	1
189	0.026884	0.025648	1
190	0.030375	0.028230	1
191	0.028826	0.025091	1
192	0.028198	0.023959	1
193	0.027461	0.025421	1
194	0.027271	0.024239	1
195	0.027263	0.025160	1
196	0.027236	0.024448	1
197	0.027799	0.026544	1
198	0.028631	0.026987	1
199	0.028289	0.025512	1
200	0.029720	0.025501	1
201	0.029637	0.029107	1
202	0.029905	0.028518	1
203	0.031589	0.028211	1
204	0.030794	0.027695	1
205	0.033149	0.029572	1
206	0.033523	0.030044	1
207	0.033778	0.028599	1
208	0.033618	0.029516	1
209	0.032938	0.030234	1
210	0.032473	0.029925	1
211	0.033282	0.031911	1
212	0.034807	0.030306	1
213	0.036112	0.032174	1
214	0.035147	0.032391	1
215	0.035851	0.033476	1
216	0.036662	0.032508	1
217	0.038417	0.034510	1
218	0.037435	0.034088	1
219	0.038300	0.035941	1
220	0.038596	0.035524	1
221	0.043408	0.039293	1
222	0.044826	0.038438	1
223	0.040990	0.038348	1
224	0.042972	0.040420	1
225	0.041966	0.040175	1
226	0.043703	0.040720	1
227	0.044836	0.039622	1
228	0.046018	0.041001	1
229	0.046637	0.043352	1
230	0.045556	0.041916	1
231	0.047472	0.044205	1
232	0.046991	0.041738	1
233	0.047908	0.044668	1
234	0.047981	0.044821	1
235	0.049141	0.043265	1
236	0.052853	0.049143	1
237	0.057685	0.045722	1
238	0.051336	0.046489	1
239	0.052950	0.044774	1
240	0.051459	0.045415	1
241	0.053520	0.047577	1
242	0.054152	0.046784	1
243	0.054119	0.048649	1
244	0.054979	0.048018	1
245	0.056109	0.050610	1
246	0.057204	0.051146	1
247	0.057549	0.050367	1
248	0.057121	0.053801	1
249	0.058996	0.053578	1
250	0.057882	0.056438	1
251	0.060655	0.052211	1
252	0.060895	0.051904	1
253	0.060858	0.055718	1
254	0.061839	0.050803	1
255	0.060844	0.055528	1
256	0.062979	0.052681	1
257	0.066235	0.060891	1
258	0.062082	0.056146	1
259	0.065167	0.061790	1
260	0.064504	0.056816	1
261	0.065389	0.059062	1
262	0.065450	0.058933	1
263	0.066656	0.058605	1
264	0.072255	0.063523	1
265	0.077357	0.074384	1
266	0.076193	0.066078	1
267	0.078381	0.063343	1
268	0.070346	0.061652	1
269	0.071153	0.064075	1
270	0.070146	0.064685	1
271	0.072349	0.065039	1
272	0.073251	0.062423	1
273	0.076366	0.066856	1
274	0.076753	0.065691	1
275	0.075247	0.065311	1
276	0.077763	0.070642	1
277	0.082991	0.069194	1
278	0.083058	0.073240	1
279	0.080276	0.076567	1
280	0.083072	0.072281	1
281	0.083280	0.074693	1
282	0.089240	0.075836	1
283	0.085991	0.074073	1
284	0.082037	0.077019	1
285	0.088101	0.079229	1
286	0.095480	0.077153	1
287	0.095927	0.082667	1
288	0.096803	0.079928	1
289	0.109275	0.082401	1
290	0.094122	0.081020	1
291	0.095523	0.082094	1
292	0.089095	0.078915	1
293	0.090028	0.079234	1
294	0.092071	0.080470	1
295	0.092587	0.081440	1
296	0.096640	0.081354	1
297	0.096079	0.083716	1
298	0.097552	0.084131	1
299	0.095105	0.084670	1
300	0.098209	0.087229	1
301	0.095647	0.085833	1
302	0.099354	0.084604	1
303	0.098071	0.089306	1
304	0.098277	0.086691	1
305	0.104799	0.087537	1
306	0.106649	0.092518	1
307	0.101407	0.089451	1
308	0.103979	0.090898	1
309	0.105120	0.096494	1
310	0.110547	0.091995	1
311	0.114050	0.095153	1
312	0.108009	0.095968	1
313	0.107549	0.098247	1
314	0.111117	0.095008	1
315	0.114677	0.097582	1
316	0.113842	0.100366	1
317	0.119194	0.101760	1
318	0.118814	0.100562	1
319	0.119948	0.102649	1
320	0.120020	0.116601	1
321	0.141498	0.120397	1
322	0.139560	0.108610	1
323	0.122064	0.117287	1
324	0.132544	0.111161	1
325	0.125863	0.112137	1
326	0.132283	0.112156	1
327	0.129456	0.109240	1
328	0.133681	0.113169	1
329	0.126973	0.115615	1
330	0.135333	0.121859	1
331	0.143308	0.119962	1
332	0.142175	0.124856	1
333	0.137624	0.119056	1
334	0.135381	0.124739	1
335	0.139630	0.125814	1
336	0.145858	0.122241	1
337	0.143647	0.133826	1
338	0.141940	0.132942	1
339	0.164394	0.144321	1
340	0.165370	0.126863	1
341	0.144983	0.127320	1
342	0.143543	0.128675	1
343	0.151703	0.126307	1
344	0.165589	0.134549	1
345	0.169342	0.137858	1
346	0.160931	0.140455	1
347	0.157771	0.140609	1
348	0.154002	0.142412	1
349	0.165052	0.139735	1
350	0.157466	0.136439	1
351	0.163321	0.138735	1
352	0.166581	0.136987	1
353	0.167916	0.147680	1
354	0.176714	0.147049	1
355	0.176068	0.147212	1
356	0.177665	0.144136	1
357	0.180293	0.147911	1
358	0.172029	0.144634	1
359	0.171821	0.150502	1
360	0.172897	0.157761	1
361	0.192531	0.165631	1
362	0.175360	0.158777	1
363	0.196932	0.167382	1
364	0.179338	0.159771	1
365	0.185408	0.149304	1
366	0.179901	0.157394	1
367	0.181695	0.147818	1
368	0.176666	0.154351	1
369	0.188540	0.170631	1
370	0.184404	0.162284	1
371	0.186178	0.160703	1
372	0.193180	0.157048	1
373	0.183702	0.163198	1
374	0.188813	0.166756	1
375	0.222481	0.172436	1
376	0.196272	0.167184	1
377	0.196206	0.167622	1
378	0.202936	0.165855	1
379	0.204372	0.164922	1
380	0.209079	0.181675	1
381	0.229703	0.177591	1
382	0.212505	0.169874	1
383	0.205646	0.169173	1
384	0.237057	0.203484	1
385	0.231202	0.186716	1
386	0.222626	0.185810	1
387	0.213484	0.185425	1
388	0.220788	0.183730	1
389	0.207396	0.182131	1
390	0.215992	0.181862	1
391	0.224299	0.181066	1
392	0.227587	0.237898	0
393	0.272510	0.229570	1
394	0.219961	0.193133	1
395	0.221780	0.193102	1
396	0.223807	0.188347	1
397	0.224702	0.187642	1
398	0.228186	0.189523	1
399	0.229507	0.192241	1
400	0.234643	0.188653	1
401	0.233213	0.201496	1
402	0.235387	0.202480	1
403	0.247695	0.209341	1
404	0.240628	0.201159	1
405	0.245698	0.200408	1
406	0.246185	0.200713	1
