Trial & KK & Rep_Rand_No_Part & Hill_Climb_No_Part & Annealing_No_Part & Rep_Rand_Part & Hill_Climb_Part & Annealing_Part \\ 
1 & 430442 & 274633482 & 496820058 & 38374468 & 88 & 186 & 248 \\ 
2 & 87086 & 325140718 & 97914116 & 81362666 & 212 & 1024 & 48 \\ 
3 & 570210 & 176431450 & 585743004 & 130788918 & 324 & 678 & 114 \\ 
4 & 724262 & 274670874 & 130658862 & 171004958 & 118 & 1416 & 288 \\ 
5 & 167954 & 586659654 & 498472618 & 38247932 & 54 & 390 & 58 \\ 
6 & 269454 & 8997842 & 682304554 & 58052848 & 124 & 128 & 162 \\ 
7 & 338240 & 477682406 & 442740212 & 524715786 & 138 & 234 & 48 \\ 
8 & 57065 & 696671019 & 370602217 & 606656921 & 5 & 201 & 227 \\ 
9 & 223568 & 175839854 & 967863282 & 406766868 & 178 & 630 & 90 \\ 
10 & 1574876 & 550641814 & 24559176 & 178673732 & 440 & 780 & 50 \\ 
11 & 600813 & 449630603 & 39664245 & 119669809 & 337 & 1323 & 251 \\ 
12 & 1637909 & 105602461 & 165278383 & 156198303 & 43 & 85 & 25 \\ 
13 & 209931 & 526278519 & 403831399 & 33310499 & 215 & 893 & 117 \\ 
14 & 109317 & 116946859 & 45723411 & 285232379 & 545 & 933 & 415 \\ 
15 & 59374 & 352742974 & 347692946 & 21521324 & 30 & 484 & 228 \\ 
16 & 19803 & 146182125 & 169470351 & 213893151 & 125 & 1597 & 345 \\ 
17 & 182833 & 278655283 & 195573607 & 105355221 & 117 & 945 & 375 \\ 
18 & 154148 & 215123734 & 964647780 & 59634362 & 30 & 1112 & 40 \\ 
19 & 371565 & 244639803 & 353776429 & 226079083 & 1 & 89 & 53 \\ 
20 & 24951 & 145580139 & 59976559 & 58595577 & 59 & 1873 & 69 \\ 
21 & 49885 & 1376849515 & 112747229 & 293471665 & 183 & 21 & 211 \\ 
22 & 669675 & 638165965 & 341781411 & 4500953 & 45 & 313 & 87 \\ 
23 & 370730 & 114302658 & 52801076 & 411821876 & 14 & 154 & 146 \\ 
24 & 12114 & 128613550 & 225805434 & 594337510 & 220 & 1818 & 548 \\ 
25 & 182939 & 638081315 & 434796479 & 56540289 & 77 & 103 & 17 \\ 
26 & 219767 & 699403313 & 42504665 & 755647539 & 5 & 881 & 1 \\ 
27 & 514369 & 790897105 & 753413863 & 22879789 & 31 & 339 & 9 \\ 
28 & 111579 & 719080525 & 128444585 & 128859175 & 179 & 529 & 93 \\ 
29 & 9266 & 156844374 & 168069346 & 534267730 & 44 & 318 & 144 \\ 
30 & 111484 & 111003668 & 1136442422 & 235672114 & 104 & 224 & 82 \\ 
31 & 43950 & 114354224 & 69774170 & 315526652 & 80 & 528 & 28 \\ 
32 & 78530 & 425429166 & 374506276 & 301577164 & 882 & 358 & 270 \\ 
33 & 350969 & 18714931 & 248812833 & 147277489 & 527 & 99 & 81 \\ 
34 & 330820 & 29063844 & 180471182 & 368280808 & 354 & 1712 & 210 \\ 
35 & 360012 & 186285830 & 32093716 & 162392472 & 2 & 624 & 292 \\ 
36 & 190772 & 1084784302 & 34810458 & 165637692 & 100 & 466 & 8 \\ 
37 & 60282 & 300775766 & 1012776420 & 89068900 & 164 & 1160 & 550 \\ 
38 & 103020 & 249895596 & 97821648 & 284645508 & 126 & 3242 & 370 \\ 
39 & 311401 & 664235139 & 1708739 & 91307501 & 57 & 285 & 241 \\ 
40 & 233845 & 34473475 & 106716577 & 286012925 & 137 & 3219 & 123 \\ 
41 & 93870 & 216882298 & 531905596 & 207359410 & 98 & 218 & 140 \\ 
42 & 25876 & 100539910 & 397017404 & 87013904 & 14 & 1478 & 206 \\ 
43 & 545935 & 178567063 & 285025175 & 808384429 & 299 & 409 & 157 \\ 
44 & 103395 & 322709717 & 50455669 & 39386027 & 131 & 1817 & 141 \\ 
45 & 2020078 & 490293984 & 174258692 & 399577840 & 120 & 1852 & 68 \\ 
46 & 449250 & 321949218 & 52987672 & 505166384 & 48 & 6 & 96 \\ 
47 & 215044 & 339506580 & 650422928 & 126026336 & 158 & 590 & 84 \\ 
48 & 47716 & 300287758 & 672107762 & 79481254 & 82 & 418 & 158 \\ 
49 & 15094 & 80847880 & 121483986 & 69217590 & 48 & 434 & 222 \\ 
50 & 466550 & 111275470 & 282575096 & 132496874 & 70 & 256 & 776 \\ 
51 & 9081 & 236184269 & 28000177 & 309788455 & 45 & 65 & 213 \\ 
52 & 274189 & 238445121 & 245923609 & 439224989 & 91 & 527 & 161 \\ 
53 & 22716 & 27640722 & 14365542 & 1600930 & 32 & 376 & 118 \\ 
54 & 312220 & 186044132 & 679830944 & 308902926 & 12 & 256 & 32 \\ 
55 & 919458 & 329868272 & 114502878 & 60072406 & 54 & 182 & 270 \\ 
56 & 71539 & 279349777 & 314499909 & 23554501 & 241 & 115 & 131 \\ 
57 & 449103 & 96675739 & 183703465 & 293029617 & 93 & 387 & 357 \\ 
58 & 35806 & 296144964 & 1018385892 & 109778648 & 42 & 178 & 26 \\ 
59 & 547760 & 942276 & 315195158 & 88508092 & 52 & 30 & 1052 \\ 
60 & 111972 & 733950184 & 349054630 & 218502490 & 450 & 464 & 94 \\ 
61 & 14907 & 422914681 & 405537053 & 143841665 & 783 & 323 & 311 \\ 
62 & 188243 & 405563359 & 1205888259 & 828514327 & 1 & 1021 & 339 \\ 
63 & 165464 & 213902722 & 285038558 & 193658056 & 8 & 602 & 150 \\ 
64 & 69797 & 217731447 & 48551123 & 187818611 & 359 & 585 & 11 \\ 
65 & 10188 & 180907978 & 111878344 & 465895584 & 160 & 130 & 16 \\ 
