Trial & KK & Rep_Rand_No_Part & Hill_Climb_No_Part & Annealing_No_Part & Rep_Rand_Part & Hill_Climb_Part & Annealing_Part \\
\hline
1 & 30671 & 219276045 & 2005606031 & 768849167 & 31 & 413 & 561 \\
2 & 103461 & 436682891 & 75750169 & 364396779 & 101 & 165 & 81 \\
3 & 235477 & 121790899 & 193138719 & 278561017 & 289 & 407 & 423 \\
4 & 706305 & 1003491 & 69243357 & 32863297 & 583 & 315 & 101 \\
5 & 20913 & 460962779 & 21589275 & 110512317 & 9 & 269 & 39 \\
6 & 176152 & 27605434 & 16875452 & 377157750 & 226 & 304 & 550 \\
7 & 289800 & 447033328 & 351243590 & 19960392 & 108 & 1270 & 368 \\
8 & 149878 & 157766970 & 47328812 & 60481014 & 110 & 348 & 188 \\
9 & 884542 & 165785740 & 1209852666 & 384473738 & 262 & 560 & 224 \\
10 & 199147 & 215746163 & 108914965 & 22220173 & 15 & 1621 & 129 \\
11 & 136196 & 290879218 & 145300842 & 5760118 & 318 & 214 & 40 \\
12 & 193190 & 261559436 & 630082564 & 310554228 & 450 & 64 & 826 \\
13 & 110959 & 62277585 & 306498061 & 239730075 & 69 & 41 & 113 \\
14 & 248004 & 836536778 & 14891024 & 251113478 & 106 & 2494 & 232 \\
15 & 54757 & 381142773 & 4024505 & 238161187 & 321 & 1237 & 29 \\
16 & 154666 & 67544942 & 36272182 & 75606782 & 48 & 160 & 38 \\
17 & 80774 & 111384986 & 166194268 & 86941382 & 52 & 254 & 364 \\
18 & 8639 & 174875405 & 531885533 & 285620587 & 49 & 993 & 393 \\
19 & 14454 & 507350608 & 74303484 & 222971660 & 480 & 11106 & 744 \\
20 & 1078719 & 168064679 & 596534381 & 43826771 & 125 & 2389 & 249 \\
21 & 150456 & 283182648 & 163484790 & 303690040 & 214 & 54 & 140 \\
22 & 37037 & 506744189 & 79047579 & 701773873 & 233 & 31 & 53 \\
23 & 112186 & 121244576 & 532357630 & 216679676 & 82 & 328 & 202 \\
24 & 4046 & 372710222 & 505305068 & 226537284 & 92 & 46 & 104 \\
25 & 74219 & 269796511 & 229998455 & 491161823 & 39 & 1131 & 283 \\
26 & 397411 & 17414451 & 22490927 & 141739115 & 15 & 629 & 89 \\
27 & 24283 & 671637205 & 35809025 & 350028053 & 33 & 579 & 71 \\
28 & 37672 & 68943528 & 13941500 & 191021180 & 530 & 256 & 2 \\
29 & 118532 & 77196916 & 34464590 & 326784752 & 108 & 6 & 22 \\
30 & 89358 & 89397790 & 129421230 & 118656460 & 652 & 942 & 20 \\
31 & 539369 & 482518121 & 569855551 & 7217031 & 263 & 631 & 119 \\
32 & 67840 & 175943136 & 32156422 & 163920354 & 186 & 740 & 72 \\
33 & 928547 & 682958729 & 121429629 & 75212579 & 69 & 399 & 55 \\
34 & 6082405 & 282126267 & 119571193 & 58268543 & 133 & 463 & 197 \\
35 & 20953 & 161628483 & 31638299 & 297462001 & 281 & 543 & 585 \\
36 & 36693 & 67109469 & 143917429 & 3064113 & 151 & 11 & 155 \\
